Pesos Portfólio,Retorno,Volatilidade,Capital Final,IS
90.563474% 0.000464% 0.004031% 0.000000% 9.431166% 0.000866%,64.875485%,23.333224%,164875.485144,2.255389
90.576781% 0.000000% 0.000082% 0.000872% 9.420960% 0.001305%,64.877990%,23.334324%,164877.990369,2.255390
90.572507% 0.000054% 0.001244% 0.002137% 9.424057% 0.000000%,64.877454%,23.333968%,164877.454020,2.255401
90.576647% 0.002550% 0.000488% 0.001209% 9.419106% 0.000000%,64.877770%,23.334313%,164877.769971,2.255381
90.574578% 0.000000% 0.001512% 0.000152% 9.422834% 0.000924%,64.877871%,23.334203%,164877.870626,2.255396
