Pesos Portfólio,Retorno,Volatilidade,Capital Final,IS
90.57855305% 0.00404245% 0.00241223% 0.00130176% 9.41369051% 0.00000000%,64.877302%,23.334303%,164877.301787,2.255362
90.57225491% 0.00035719% 0.00157639% 0.00361145% 9.42220005% 0.00000000%,64.876777%,23.333776%,164876.777245,2.255390
90.56956068% 0.00007231% 0.00740863% 0.00082318% 9.42213520% 0.00000000%,64.876467%,23.333582%,164876.467285,2.255396
90.60286850% 0.00274365% 0.00000000% 0.00013535% 9.39006888% 0.00418362%,64.880122%,23.335980%,164880.121884,2.255321
90.56881458% 0.00133189% 0.00145496% 0.00493290% 9.42346567% 0.00000000%,64.875433%,23.333345%,164875.433443,2.255375
