Pesos Portfólio,Retorno,Volatilidade,Capital Final,IS
0.000000% 0.001154% 0.002441% 17.490722% 51.378214% 31.127468%,29.398918%,28.077070%,129398.918314,0.815574
0.000000% 0.000992% 0.003107% 17.485312% 51.381099% 31.129490%,29.398367%,28.076415%,129398.367372,0.815573
0.000000% 0.001231% 0.001777% 17.485498% 51.381313% 31.130182%,29.398427%,28.076444%,129398.427155,0.815574
0.000000% 0.014792% 0.000037% 17.486864% 51.370282% 31.128024%,29.397750%,28.076121%,129397.749969,0.815560
0.000000% 0.002427% 0.000212% 17.487362% 51.384282% 31.125718%,29.398988%,28.077119%,129398.988350,0.815575
0.000000% 0.004432% 0.014502% 17.490642% 51.365574% 31.124850%,29.397696%,28.076206%,129397.696065,0.815555
0.000000% 0.017334% 0.003187% 17.484959% 51.372181% 31.122339%,29.397625%,28.076205%,129397.624860,0.815553
0.000000% 0.001342% 0.001332% 17.483225% 51.386175% 31.127925%,29.398528%,28.076554%,129398.527877,0.815575
0.000000% 0.003063% 0.004739% 17.487698% 51.380435% 31.124065%,29.398660%,28.076929%,129398.659920,0.815569
0.000000% 0.004560% 0.009842% 17.485710% 51.375642% 31.124245%,29.397904%,28.076275%,129397.903688,0.815561
