Pesos Portfólio,Retorno,Volatilidade,Capital Final,IS
90.653221% 0.004257% 0.000000% 0.000008% 9.333881% 0.008633%,64.885733%,23.339341%,164885.733168,2.255236
90.582672% 0.005586% 0.002559% 0.000000% 9.409055% 0.000127%,64.877842%,23.334666%,164877.841726,2.255350
90.579258% 0.004607% 0.001363% 0.001019% 9.413752% 0.000000%,64.877484%,23.334411%,164877.483674,2.255359
90.576787% 0.000119% 0.000661% 0.001467% 9.420966% 0.000000%,64.878490%,23.334391%,164878.489749,2.255404
90.573994% 0.000347% 0.001473% 0.001300% 9.422885% 0.000000%,64.877860%,23.334143%,164877.860048,2.255401
90.573952% 0.000000% 0.004336% 0.001145% 9.419784% 0.000783%,64.877113%,23.333944%,164877.113425,2.255389
90.576249% 0.000000% 0.004626% 0.000788% 9.417334% 0.001003%,64.877455%,23.334118%,164877.454518,2.255386
90.575136% 0.001398% 0.002283% 0.005420% 9.415763% 0.000000%,64.876243%,23.333749%,164876.243234,2.255370
90.571518% 0.000064% 0.001829% 0.002308% 9.424281% 0.000000%,64.877136%,23.333847%,164877.135927,2.255399
90.589401% 0.000295% 0.000044% 0.000000% 9.404723% 0.005536%,64.877755%,23.334878%,164877.754984,2.255326
90.572283% 0.002594% 0.008218% 0.000352% 9.416554% 0.000000%,64.876149%,23.333700%,164876.148606,2.255371
90.574982% 0.000000% 0.000019% 0.000514% 9.423921% 0.000565%,64.878264%,23.334310%,164878.264131,2.255403
90.579954% 0.000000% 0.000020% 0.011400% 9.407145% 0.001480%,64.874993%,23.333527%,164874.992800,2.255338
90.556877% 0.000000% 0.008464% 0.009910% 9.424626% 0.000123%,64.871048%,23.331646%,164871.048274,2.255351
90.596741% 0.000137% 0.000000% 0.001979% 9.393103% 0.008040%,64.876888%,23.334968%,164876.888299,2.255280
